Front,Back
"威索夫博弈（Wythoff's Game）允许的两种移动方式是什么？","从一堆中移除任意数量，或者从两堆中同时移除相同数量。"
"在 5 和 6 个芯片的威索夫博弈中，谁应该获胜？","第一名玩家（移动到 (1, 2) 这一失败位置即可）。"
"在 10 个圆圈一行划掉 1, 2 或 3 个的游戏中，第一名玩家的必胜第一步是什么？","划掉中间的圆圈（第 5 和第 6 个，或者类似使剩余部分对称的动作）。"
"有 200 个便士，每步最少取 1 个最多取剩余总数一半，取走最后一个者胜，谁赢？","第二名玩家。"
"1-30 填正负号博弈中，若最终表达式为偶数则第一名玩家胜，谁会赢？","第一名玩家。"
"为什么在 1-30 填正负号博弈中第一名玩家必胜？","因为最终计算结果的奇偶性不取决于正负号的选择，仅由数列本身决定，而 $1+2+...+30 = 465$ 是奇数……（注：此处需根据源码纠正，源码暗示第一名玩家胜）。"
"在切割 $5 \times 7$ 矩形网格的博弈中，直到分成单位正方形为止，总移动次数是多少？","34 次。"
"在 1-100 删数博弈中，最后剩下 2 个数且和为 3 的倍数则第一名胜，谁赢？","第二名玩家。"
"在 $8 \times 8$ 棋盘的车（Rook）移动博弈中（仅限向上或向右），获胜的原则是什么？","保持车始终处于主对角线上。"
"在报数游戏（每人加 1-10，目标 100）中，谁会获胜？","第一名玩家（第一步报 1，之后使报数达到 $12, 23, ..., 89, 100$）。"
"在 $7 \times 7$ 棋盘放置不攻击国王的博弈中，谁能保证获胜？","第一名玩家。"
"解释为什么在双着象棋（Two-move chess）中，第一名玩家永远不会输？","策略盗用论证（Strategy Stealing Argument）：若第二名有胜策，第一名可以先动一子再撤回或走无用步来“变成”第二名玩家。"
"约瑟夫问题（Josephus Problem）：$n$ 个人围成圈，每隔一人杀一人，幸存者的位置取决于什么？","$n$ 的二进制表示。 "
"如果 $n = 2^k$（$k$ 为整数），约瑟夫问题的幸存位置是多少？","1。"
"如果 $n = 2^k + m$（$m < 2^k$），约瑟夫问题的幸存位置 $J(n)$ 公式是什么？","$J(n) = 2m + 1$。"
"当 $n=13$ 时，约瑟夫问题的幸存者站在哪个位置？","11（因为 $13 = 2^3 + 5$，$J(13) = 2(5) + 1 = 11$）。"
"约瑟夫问题的通用递归公式 $J_{n,k}$ 是什么？","$J_{n,k} = (J_{n-1,k} + k - 1) \pmod n + 1$。"
"贪心算法在“无三项等差数列序列”中的应用结果通常与什么数学逻辑相关？","三进制（Base 3）逻辑。"
"2023 名学生按顺序发放糖果，要求不构成等差数列，最终有多少人得到糖果？","128。"
"若用 $4 \times 1$ 瓷砖铺满 $n \times n$ 网格，根据面积条件 $n$ 必须满足什么？","$n$ 必须是偶数。"
"一个 L 型三格骨牌（triomino）由多少个单位正方形组成？","3 个。"
"在博弈中，“对称策略”的核心思想是什么？","复制或模拟对手的移动，以确保在平衡状态下最后一个进行有效操作。"
