Front,Back
"两个正整数 $a, b$ 的乘积与其 GCD 和 LCM 的乘积的关系是？","$ab = \gcd(a, b) \cdot \text{lcm}[a, b]$"
"若 $a_1 a_2 \dots a_n$ 是完全 $k$ 次幂，且 $a_i$ 两两互质，则每个 $a_i$ 满足什么性质？","每个 $a_i$ 都是完全 $k$ 次幂。"
"若 $N = p_1^{n_1} p_2^{n_2} \dots p_k^{n_k}$，求其正约数个数 $\tau(N)$ 的公式是？","$\tau(N) = (n_1 + 1)(n_2 + 1) \dots (n_k + 1)$"
"若 $m$ 有 10 个约数，$n$ 有 6 个约数，且 $\gcd(m, n) = 1$，则 $mn$ 有多少个约数？","60"
"勒让德公式（Legendre Function） $L_p(n)$ 用于计算什么？","计算 $n!$ 的质因数分解中质数 $p$ 的最高幂次。"
"勒让德公式 $L_p(n)$ 的数学表达式是？","$L_p(n) = \sum_{j=1}^{\infty} \lfloor \frac{n}{p^j} \rfloor$"
"若 $n$ 的正约数个数为 $t(n)$，则其所有正约数之积 $P_n$ 的公式是？","$P_n = n^{t(n)/2}$"
"若 $N = p_1^{n_1} p_2^{n_2} \dots p_k^{n_k}$，其所有正约数之和 $\sigma(N)$ 的公式是？","$\sigma(N) = \prod_{i=1}^{k} \frac{p_i^{n_i+1} - 1}{p_i - 1}$"
"在除法定理 $a = bq + r$ 中，$r$ 的取值范围是？","$0 \le r < b$"
"同余符号 $a \equiv b \pmod{m}$ 的定义是什么？","$a - b$ 是 $m$ 的倍数（即 $m | (a-b)$）。"
"若 $a_1 \equiv a_2 \pmod{m}$ 且 $b_1 \equiv b_2 \pmod{m}$，则 $a_1 b_1$ 与 $a_2 b_2$ 的关系是？","$a_1 b_1 \equiv a_2 b_2 \pmod{m}$"
"若 $a_1 \equiv a_2 \pmod{m}$，则对于任何正整数 $n$，$a_1^n \equiv \underline{?   } \pmod{m}$。","$a_2^n$"
"判断一个整数能否被 2 或 5 整除，只需看其 _____。","个位数字"
"判断一个整数能否被 4 或 25 整除的规则是？","看该整数的最后两位数字构成的数能否被 4 或 25 整除。"
"判断一个整数能否被 8 或 125 整除的规则是？","看该整数的最后三位数字构成的数能否被 8 或 125 整除。"
"一个整数能被 3 或 9 整除的充要条件是？","该整数的各位数字之和能被 3 或 9 整除。"
"判断一个整数能否被 11 整除的规则是？","看该整数的各位数字从个位开始的交替和能否被 11 整除。"
"为什么 11 的整除规则可以使用交替和？","因为 $10 \equiv -1 \pmod{11}$。"
"若 $n$ 的质因数分解中包含 $k$ 个不同的质数，且每个质数的指数均为 1，则 $\tau(n)$ 等于？","$2^k$"
"一个正整数是完全平方数的充要条件是其约数个数为 _____。","奇数"
"$\gcd(a, b, c)$ 可以通过分步计算表示为？","$\gcd(\gcd(a, b), c)$"
"如果 $a|b$ 且 $b|c$，则 $a$ 与 $c$ 的关系是？","$a|c$（传递性）"
"概念：素数 (Prime Number)","定义：只有 1 和它本身两个正约数的大于 1 的自然数。"
"自然数集 $\mathbb{N}$ 在不同教材中的歧义通常是指是否包含数字 _____。","0"
"$\{0, 1, 4, 9, 16, \dots\}$ 属于哪一类数？","完全平方数 (Perfect square)"
"若 $a_1 \equiv a_2 \pmod{m}$ 且 $b_1 \equiv b_2 \pmod{m}$，则 $a_1 + b_1 \equiv \underline{?} \pmod{m}$。","$a_2 + b_2$"
"如果两个整数除以 14 的余数分别是 5 和 13，那么它们的乘积除以 14 的余数是？","9 ($5 \times 13 = 65 = 14 \times 4 + 9$)"
"求 $3^{2022}$ 除以 10 的余数，等价于求 $3^{2022}$ 的 _____ 位数字。","个"
"计算 $n!$ 尾随零个数的问题，本质是使用勒让德公式计算 $n!$ 中质因数 _____ 的最高幂次。","5 (因为 5 比 2 少)"
"若一个数能被 225 整除，则它必须同时能被哪两个互质的平方数整除？","9 和 25"
"在 $1$ 到 $n$ 的连乘积 $n!$ 中，因子 2 的个数总是 _____ 因子 5 的个数。","大于"
"$\text{lcm}(ca, cb)$ 等于什么？","$c \cdot \text{lcm}(a, b)$"
"如何求 $n!$ 的质因数分解中 $p$ 的幂次？","将 $n$ 除以 $p, p^2, p^3 \dots$ 的所有下取整商求和。"
"什么是互质的一组数？","它们的最大公约数为 1。"
