Front,Back
"朱世杰恒等式（又称曲棍球棒恒等式，Hockey-stick Identity）的形式是什么？","$\sum_{i=k}^{n} \binom{i}{k} = \binom{n+1}{k+1}$。"
"恒等式 $k \binom{n}{k}$ 可以简化为哪个关于 $n-1$ 的表达式？","$k \binom{n}{k} = n \binom{n-1}{k-1}$。"
"范德蒙德恒等式（Vandermonde's Identity）的数学表达式是什么？","$\sum_{k=0}^{r} \binom{m}{k} \binom{n}{r-k} = \binom{m+n}{r}$。"
"二项式系数的平方和 $\sum_{k=0}^{n} \binom{n}{k}^2$ 的计算结果是多少？","等于 $\binom{2n}{n}$。"
"什么是生成函数（Generating Function）的基本定义？","生成函数是一个以序列的项作为系数的幂级数，形式为 $c_0 + c_1x + c_2x^2 + \dots$。"
"常数列 $a_n = 1$（对所有 $n$）的生成函数表达式是什么？","$G(1; x) = \frac{1}{1-x}$（在 $|x| < 1$ 时）。"
"数列 $a_n = k^n$ 的生成函数表达式是什么？","$G(k^n; x) = \frac{1}{1-kx}$（在 $|kx| < 1$ 时）。"
"数列 $a_n = n$ 的生成函数表达式是什么？","$G(n; x) = \frac{x}{(1-x)^2}$。"
"数列 $a_n = n^2$ 的生成函数表达式是什么？","$G(n^2; x) = \frac{x(1+x)}{(1-x)^3}$。"
"固定 $m$ 时，二项式系数 $a_n = \binom{m}{n}$ 的生成函数是什么？","$G(\binom{m}{n}; x) = (1+x)^m$。"
"固定 $k$ 时，数列 $a_n = \binom{n+k}{n}$ 的生成函数是什么？","$G(\binom{n+k}{n}; x) = \frac{1}{(1-x)^{k+1}}$。"
"斐波那契数列 $F_n$（定义 $F_0=0, F_1=1$）的生成函数表达式是什么？","$G(F_n; x) = \frac{x}{1-x-x^2}$。"
"在掷骰子问题中，如果两个骰子的生成函数分别为 $P(x)$ 和 $Q(x)$，那么点数之和的生成函数是什么？","点数之和的生成函数是两个多项式的乘积 $P(x)Q(x)$。"
"将 $n$ 个不同球放入 $k$ 个不同盒，且允许盒子为空，总方案数是多少？","总方案数为 $k^n$。"
"将 $n$ 个不同球放入 $k$ 个不同盒，且要求每个盒子至少有 1 个球，其方案数与哪种数学对象有关？","与第二类斯特林数（Stirling numbers of the second kind）有关，具体为 $k! \cdot S(n,k)$。"
"在凸 $n$ 边形内部，对角线交点的最大数量是多少？","最大交点数为 $\binom{n}{4}$。"
"若一个 7 位整数是“非递减”的（如 1225），这相当于在 10 个数字中进行哪种类型的选择？","相当于在 10 个数字中进行可重复的组合选择，即 $\binom{7+10-1}{7}$。"
"如果抛一枚公平硬币 11 次，正面次数多于反面次数的概率是多少？","概率是 $\frac{1}{2}$（基于对称性）。"
"生成函数 $G(x) = (x+x^2)^{24}(x^3+x^5+x^9)$ 中，$x^{39}$ 的系数代表什么？","代表 25 人凑齐 39 元零食费的方案数（按题目给定的个人出资限制）。"
"在 $n$ 个元素的集合中，选择 $k$ 个子集的 Vandermonde 恒等式组合解释是什么？","将总数为 $m+n$ 的集合分为两组，从两组中分别选出部分元素凑够 $r$ 个元素的总选法。"
"二项式定理 $\sum \binom{n}{k} x^k = (1+x)^n$ 可以看作是哪种组合对象的生成函数？","它可以看作是从 $n$ 个元素中选择 $k$ 个元素的子集的生成函数。"
"在 $x-y$ 平面上从 $(0,0)$ 出发走 2020 步回到原点，步长为 1，这可以用什么多项式的系数表示？","可以用 $(x + x^{-1} + y + y^{-1})^{2020}$ 中常数项的系数表示。"
"二项式展开 $(1-x)^{-n}$ 的通项系数是多少？","$x^k$ 的系数是 $\binom{n+k-1}{k}$。"
"一个凸 $n$ 边形中，不以顶点为顶点的内部三角形的最大数量是多少？","最大数量为 $\binom{n}{6}$。"
"如果要求 $a+d > b+c$ 且 $1 \le a < b < c < d \le 10$，这类有趣四元组的计数通常采用哪种方法？","通常通过互补计数或利用组合数的对称性质进行分类讨论。"
