Front,Back
"箱线图 (Boxplot) 能够汇总展示哪些关键统计特征？","中位数、上下四分位数以及异常值。"
"离散型随机变量期望 $E(X)$（或均值 $\mu$）的计算公式是什么？","$E(X) = \sum r \cdot P(X = r)$。"
"离散随机变量方差 $Var(X)$ 的基本定义式是什么？","$Var(X) = E(X - \mu)^2$。"
"二项分布 $X \sim B(n, p)$ 的概率质量函数 $P(X=k)$ 是什么？","$P(X = k) = \binom{n}{k} p^k (1 - p)^{n-k}$。"
"二项分布 $X \sim B(n, p)$ 的期望 $E(X)$ 是什么？","$E(X) = np$。"
"几何分布 $X \sim Geo(p)$ 表示在独立伯努利试验中，第 $k$ 次才出现首次成功的概率，其公式为？","$P(X = k) = p(1 - p)^{k-1}$。"
"几何分布 $X \sim Geo(p)$ 的期望 $E(X)$ 是多少？","$E(X) = \frac{1}{p}$。"
"泊松分布 $X \sim Po(\lambda)$ 的概率计算公式 $P(X=r)$ 是什么？","$P(X = r) = \frac{e^{-\lambda} \cdot \lambda^r}{r!}$。"
"泊松分布 $X \sim Po(\lambda)$ 的一个独特性质是其期望和方差均等于 _____。","参数 $\lambda$。"
"超几何分布 (Hyper-geometric) 与二项分布的主要区别在于它适用于哪种抽样方式？","不放回抽样 (Without replacement)。"
"超几何分布中，从包含 $m$ 个目标项的 $N$ 个物品中抽取 $n$ 个，恰有 $x$ 个目标项的概率公式是什么？","$P(X = x) = \frac{\binom{m}{x} \binom{N-m}{n-x}}{\binom{N}{n}}$。"
"连续型随机变量的概率密度函数 (p.d.f.) $f(x)$ 满足的所有概率之和等于多少？","$\int f(x)dx = 1$。"
"对于连续变量，计算区间 $[c, d]$ 内的概率 $P(c \le x \le d)$ 需执行什么数学运算？","计算函数 $f(x)$ 在区间 $[c, d]$ 上的定积分。"
"连续型随机变量期望 $E(X)$ 的计算积分式是什么？","$E(X) = \int x \cdot f(x)dx$。"
"连续型随机变量的众数 (Mode) 是指 _____ 达到最大值时的 $X$ 值。","概率密度函数 $f(x)$。"
"均匀分布 $X \sim U(a, b)$ 在区间内的概率密度函数 $f(x)$ 是多少？","$f(x) = \frac{1}{b - a}$。"
"均匀分布 $X \sim U(a, b)$ 的期望 $E(X)$ 是多少？","$\frac{a + b}{2}$。"
"均匀分布 $X \sim U(a, b)$ 的方差 $Var(X)$ 公式是什么？","$\frac{(b - a)^2}{12}$。"
"指数分布 $X \sim Exp(\lambda)$ 在 $x > 0$ 时的概率密度函数 $f(x)$ 是什么？","$\lambda e^{-\lambda x}$。"
"指数分布 $X \sim Exp(\lambda)$ 的期望 $E(X)$ 和方差 $Var(X)$ 分别是什么？","$E(X) = \frac{1}{\lambda}$, $Var(X) = \frac{1}{\lambda^2}$。"
"指数分布具有的一个关键特性是“无记忆性”，其数学表达式是什么？","$P[X > (a + b) | X > a] = P(X > b)$。"
"正态分布的表示符号通常是 $X \sim N(\mu, \sigma^2)$，其中 $\mu$ 和 $\sigma$ 分别代表？","均值 (Mean) 和标准差 (Standard deviation)。"
"如果一个离散概率分布的所有可能取值的概率都相等（例如 0,1,2,3,4 概率均为 1/5），这种分布被称为 _____。","离散均匀分布。"
"在散点图中，独立变量（属性）通常绘制在哪个轴上？","X轴 (横轴)。"
"样本方差 $s^2$ 的计算公式中，分母为什么是 $n-1$ 而不是 $n$？","为了使其成为总体方差的无偏估计量。"
"累积频数曲线 (Cumulative Frequency Curve) 绘制时，X轴通常代表数据值，Y轴代表什么？","累积频数 (Cumulative frequency)。"
"在茎叶图中，如果茎是百位和十位，叶是个位，那么 $9 | 5$ 表示的数值是？","95。"
"离散随机变量方差的计算公式 $Var(X) = \sum (r - \mu)^2 p_r$ 中，$p_r$ 代表什么？","变量取值为 $r$ 的概率 $P(X = r)$。"
"对于二项分布，当进行多次试验时，所有可能结果的概率之和为？","1 (即 100%)。"
"连续型随机变量方差 $Var(X)$ 的计算公式（利用期望）是什么？","$Var(X) = \int x^2 f(x)dx - \mu^2$。"
"在直方图中，如果类宽度全部相等，则柱体的高度直接与什么成正比？","频数 (Frequency)。"
"超几何分布的期望公式 $E(X) = \frac{nm}{N}$ 中，$m$ 代表什么含义？","总体中属于特定类型（目标类型）的物品数量。"
"在处理统计问题时，数据集合的“Spread”（离散程度）描述的是数据的 _____。","分布的宽窄或变异性。"
"如果 $Q1=33$ 且 $Q3=43$，则判定为低端异常值的值必须小于多少？","$33 - 1.5 \times (43 - 33) = 18$。"
"泊松分布 $X \sim Po(\lambda)$ 适用于描述什么样的时间或空间发生的事件？","在固定时间或空间间隔内发生的稀有事件的次数。"
