Front,Back
"德·摩根定律（De Morgan's laws）中交集的补集等于什么？","$\overline{A \cap B} = \overline{A} \cup \overline{B}$。"
"加法原理（Rule of Sum）适用于什么样的一组集合？","适用于两两不相交（Pairwise disjoint）的有限集合。"
"乘法原理（Rule of Product）的基本内容是什么？","若完成一件事需两个步骤，第一步有 $a$ 种方法，第二步有 $b$ 种方法，则共有 $a \times b$ 种方法。"
"应用乘法原理时必须确保每一步的选择数量满足什么条件？","下一步的可选数量必须独立于前一步的具体选择。"
"基础鸽巢原理（Pigeonhole Principle）的内容是什么？","若有 $m+1$ 只鸽子进入 $m$ 个鸽巢，则至少有一个鸽巢包含多于 $1$ 只鸽子。"
"广义鸽巢原理：$m$ 只鸽子进入 $n$ 个鸽巢，至少有一个巢穴包含至少多少只鸽子？","包含至少 $\lceil \frac{m}{n} \rceil$ 只鸽子。"
"容斥原理（PIE）中，两个集合并集的元素个数公式是什么？","\#(A \cup B) = \#(A) + \#(B) - \#(A \cap B)$。"
"在容斥原理中，符号 $\#(S)$ 表示什么？","表示集合 $S$ 中元素的数量。"
"如何使用 PIE 计算三个集合 $A, B, C$ 的并集大小？","计算各集之和，减去两两交集之和，再加上三个集合的共同交集。"
"欧拉函数（Euler's Totient Function）$\varphi(n)$ 的定义是什么？","小于或等于 $n$ 且与 $n$ 互质的正整数的个数。"
"若 $n = p_1^{k_1} \dots p_m^{k_m}$，$\varphi(n)$ 的计算公式是什么？","$\varphi(n) = n \times (1 - \frac{1}{p_1}) \times (1 - \frac{1}{p_2}) \dots \times (1 - \frac{1}{p_m})$。"
"分类讨论法（Casework）的核心思想是什么？","将复杂问题分解为若干个互不重叠且涵盖所有情况的子情况分别计数。"
"分步计数法（Constructive Counting）通常如何操作？","通过确定的步骤逐步构建符合条件的具体对象来计数。"
"补集计数法（Complementary Counting）在什么情况下使用？","当直接计数符合条件的案例比计数不符合条件的案例更困难时。"
"重复元素排列公式：$n$ 个对象中包含 $n_1, n_2, \dots, n_r$ 个相同类型对象，排列总数是多少？","排列总数为 $\frac{n!}{n_1! n_2! \dots n_r!}$。"
"将 $n$ 个不同元素分成 $r$ 个大小分别为 $n_1, n_2, \dots, n_r$ 的指定小组的方法数是多少？","方法数为 $\frac{n!}{n_1! n_2! \dots n_r!}$。"
"在分组问题中，如果若干个小组的大小相同且不可区分，结果应如何修正？","需要除以相同大小小组个数的阶乘以消除重复。"
"圆排列（Circular Permutation）：$n$ 个不同对象的圆周排列数是多少？","排列数为 $(n-1)!$。"
"如果圆排列允许翻转（如项链、钥匙扣），则 $n$ 个对象的排列数是多少？","排列数为 $\frac{(n-1)!}{2}$。"
"用 $6$ 种不同颜色给正方体的 $6$ 个面染色，每面颜色不同，有多少种方案？","共有 $30$ 种不同的染色方案。"
"组合恒等式：$\binom{n}{r}$ 与 $\binom{n}{n-r}$ 的关系是什么？","它们相等，即 $\binom{n}{r} = \binom{n}{n-r}$。"
"杨辉三角（Pascal's Triangle）中第 $n$ 行所有组合数的和是多少？","总和等于 $2^n$。"
"帕斯卡恒等式（Pascal's Identity）的公式是什么？","$\binom{n+1}{r+1} = \binom{n}{r+1} + \binom{n}{r}$。"
"当 $n$ 为偶数时，组合数 $\binom{n}{r}$ 在何处取得最大值？","在 $r = \frac{n}{2}$ 时取得最大值。"
"当 $n$ 为奇数时，组合数 $\binom{n}{r}$ 的最大值在何处取得？","在 $r = \frac{n-1}{2}$ 和 $r = \frac{n+1}{2}$ 时取得最大值。"
"如何计算 $100!$ 末尾零的个数？","计算 $100$ 因子中 $5$ 的总幂次，即 $\lfloor \frac{100}{5} \rfloor + \lfloor \frac{100}{25} \rfloor$。"
"公式 $\sum_{k=1}^n \frac{k}{(k+1)!}$ 可以简化为什么形式？","简化为 $1 - \frac{1}{(n+1)!}$。"
"在组合数学中，“纠正超额计数”（Correcting for Overcounting）的主要方法是什么？","将初步计数结果除以重复出现的次数（对称性或排列数）。"
