Front,Back
"勒让德公式（Legendre's Formula）中，$v_p(n!)$ 表示什么含义？","$n!$ 的质因数分解中质数 $p$ 的指数。"
"勒让德公式的级数求和形式是什么？","$v_p(n!) = \sum_{j=1}^{\infty} \lfloor \frac{n}{p^j} \rfloor$"
"利用 $n$ 的 $p$ 进制数字之和 $s_p(n)$，勒让德公式可以改写为什么形式？","$v_p(n!) = \frac{n - s_p(n)}{p-1}$"
"确定十进制下 $n!$ 末尾 0 的个数，等同于计算什么？","$v_5(n!)$，即 $n!$ 中质因子 $5$ 的最高幂次。"
"如何计算 $n!$ 在 $35$ 进制下末尾 0 的个数？","计算 $\min(v_5(n!), v_7(n!))$。"
"计算 $n!$ 在 $12$ 进制下末尾 0 的个数时，需要考虑哪些因数？","需要计算 $v_2(n!)$ 和 $v_3(n!)$，结果为 $\min(\lfloor \frac{v_2(n!)}{2} \rfloor, v_3(n!))$。"
"在十进制中，完全平方数的个位数可能有哪些？","$0, 1, 4, 5, 6, 9$。"
"在二进制（Base 2）中，完全平方数的个位数只能是什么？","$0$ 或 $1$。"
"在五进制（Base 5）中，完全平方数的个位数可能有哪些？","$0, 1, 4$。"
"在八进制（Base 8）中，完全平方数的个位数可能有哪些？","$0, 1, 4$。"
"一个整数能被 $2$ 或 $5$ 整除的判定规则是什么？","该数的个位数能被 $2$ 或 $5$ 整除。"
"一个整数能被 $4$ 或 $25$ 整除的判定规则是什么？","该数的最后两位组成的整数能被 $4$ 或 $25$ 整除。"
"一个整数能被 $8$ 或 $125$ 整除的判定规则是什么？","该数的最后三位组成的整数能被 $8$ 或 $125$ 整除。"
"一个整数能被 $3$ 或 $9$ 整除的判定规则是什么？","该数各位数字之和能被 $3$ 或 $9$ 整除。"
"一个整数能被 $11$ 整除的判定规则是什么？","该数各位数字的交替和（奇偶位差）能被 $11$ 整除。"
"在 $b$ 进制中，一个数能被 $b-1$ 整除的判定规则是什么？","该数在 $b$ 进制下的各位数字之和能被 $b-1$ 整除。"
"什么是 $p$ 进估值（$p$-adic valuation）$v_p(n)$？","使得 $p^k$ 整除 $n$ 的最大非负整数 $k$。"
"关于 $p$ 进估值，性质 $v_p(ab) = \dots$ 等于什么？","$v_p(a) + v_p(b)$"
"关于 $p$ 进估值，性质 $v_p(\frac{a}{b}) = \dots$ 等于什么？","$v_p(a) - v_p(b)$"
"关于 $p$ 进估值，性质 $v_p(\text{gcd}(a,b)) = \dots$ 等于什么？","$\min\{v_p(a), v_p(b)\}$"
"库默尔定理（Kummer's Theorem）的内容是什么？","质数 $p$ 除组合数 $\binom{m+n}{n}$ 的最高幂次等于 $m$ 与 $n$ 在 $p$ 进制下相加时的进位次数。"
"卢卡斯定理（Lucas's Theorem）用于计算组合数对质数 $p$ 取模，其基本表达式是什么？","$\binom{n}{i} \equiv \prod_{j=0}^{m} \binom{n_j}{i_j} \pmod{p}$，其中 $n_j, i_j$ 是 $p$ 进制下的各数位。"
"根据卢卡斯定理，若 $p$ 为质数，则 $(1+x)^{p^n} \equiv \dots \pmod{p}$？","$1 + x^{p^n}$"
"如何使用库默尔定理判断 $\binom{1749}{355}$ 是否能被 $5$ 整除？","检查 $355$ 与 $1749-355$ 在五进制下相加时是否产生进位。"
"在 Pascal 三角形中，第 $n$ 行奇数项的个数与 $n$ 的二进制表示有何关系？","奇数项的个数等于 $2^k$，其中 $k$ 是 $n$ 的二进制表示中 $1$ 的个数。"
"对于正整数 $n$，其各位数字之和记为 $S(n)$。若 $n=1507$，则 $S(n)$ 等于多少？","13"
"判断一个数是否能被 $7$ 整除的一种特殊规则是什么？","去掉末位数字，从剩余部分减去末位数字的两倍，所得结果若能被 $7$ 整除，则原数也能。"
"分数 $1/25$ 写成五进制小数的形式是什么？","$0.01_5$（因为 $1/25 = 1/5^2$）。"
"分数 $1/10$ 写成八进制小数的形式是什么？","$0.0\overline{63}_8$"
"什么是“故障里程表”类问题的通用解题策略？","将跳过的数字排除，将其余数字重新映射到较小的进制（如跳过 $4$ 则映射为九进制）。"
"若一个数在 $10$ 进制下各位数字之和为 $S(n)$，则 $n \equiv S(n) \pmod{x}$，其中 $x$ 是多少？","9"
"卢卡斯定理仅适用于模数是_____的情况。","质数（Prime number）。"
"$p$ 进估值性质：如果 $v_p(a) \ne v_p(b)$，那么 $v_p(a+b) = \dots$？","$\min\{v_p(a), v_p(b)\}$"
"二进制数 $11.011_2$ 转换为十进制是多少？","$3.375$ (即 $2 + 1 + 0/2 + 1/4 + 1/8$)"
"四进制循环小数 $3.\overline{2}_4$ 转换为十进制是多少？","$3 \frac{2}{3}$ (即 $3 + 2/(4-1)$)"
"术语：十进制数（Decimal Number）中小数点的作用是什么？","将左边的整数部分与右边的小数部分分隔开。"
"分数 $\frac{1}{2^{26} \cdot 5^4}$ 化为小数后，小数点后前几个数字是什么？","由若干个 $0$ 组成的字符串。"
"在寻找 $2011^{2011}$ 的百位数字时，通常采用什么代数工具？","二项式展开（Binomial Expansion），如 $(2010+1)^{2011}$。"
"求 $\sum_{n=0}^{2018} 2016 \cdot 2017^n$ 的 $2017$ 进制表示中各数位之和。","$2016 \times 2019$（此题需利用 $2017$ 进制的数位定义）。"
"库默尔定理中，组合数 $\binom{n}{k}$ 能被质数 $p$ 整除，当且仅当进位次数_____。","大于 $0$。"
"若 $n = 2^m - 1$，证明 $\binom{n}{k}$ 对所有 $0 \le k \le n$ 均为奇数，需利用卢卡斯定理观察 $n$ 的二进制形式为何？","$n$ 的二进制表示全是 $1$。"
"十六进制数中的字母 $C$ 代表十进制中的哪个数字？","12"
"分数 $3/11$ 的十进制等价值是多少？","$0.\overline{27}$"
"在 $b$ 进制中，若分母只含有 $b$ 的质因子，则该分数化为小数后必然是_____。","有限小数。"
"将十进制小数 $0.375$ 转换为二进制是多少？","$0.011_2$"
"将十进制小数 $0.1875$ 转换为二进制是多少？","$0.0011_2$"
"计算 $n!$ 质因子分解中 $p$ 的指数时，级数 $\sum \lfloor n/p^i \rfloor$ 什么时候停止？","当 $p^i > n$ 时，后续项均为 $0$。"
"如果一个数的个位数在八进制下是 $4$，那么这个数在十进制下一定是_____。","偶数。"
"一个数能被 $99$ 整除的判定规则是什么？","将该数从右向左每两位一段进行求和，和能被 $99$ 整除。"
"判定一个数是否能被 $37$ 整除，可以利用几位一段的求和法？","三位一段（因为 $999$ 是 $37$ 的倍数）。"
"$S(n)$ 性质：$S(n+1) \le S(n) + 1$ 成立吗？","成立，且当 $n$ 的末尾没有 $9$ 时取等号。"
"卢卡斯定理中，若存在某个 $j$ 使得 $n_j < i_j$，则 $\binom{n}{i} \pmod{p}$ 的值是多少？","0"
"二进制、八进制和十六进制在计算机科学中被广泛使用的共同原因是_____。","它们都是 $2$ 的幂次，相互转换非常简便（按位分组即可）。"
"将 $100_7$ 转换为 $6$ 进制，结果比 $100$ 大还是小？","大（结果为 $121_6$）。"
"概念：基数（Base）","计数系统中进位的标准。例如十进制的基数是 $10$，满十进一。"
"为什么 $1/7$ 的循环节长度最大只能是 $6$？","因为除以 $7$ 的余数只有 $1$ 到 $6$ 这六种可能，根据鸽巢原理必然循环。"
"十进制数 $3$ 写成 $3.000$ 的目的是什么？","在不改变数值的情况下表示精度或占位。"
"什么是 AIME 竞赛中常用的“$p$ 进估值”符号？","$\nu_p(n)$。"
