Front,Back
"计算 $(2i)^2$ 的结果是多少？","$-4$。"
"计算 $(-3i)^3$ 的结果是多少？","$27i$。"
"复数 $z$ 的倒数 $\frac{1}{z}$ 的模与 $z$ 的模有什么关系？","$|\frac{1}{z}| = \frac{1}{|z|}$。"
"在复平面中，点 $z$ 位于单位圆内（不含边界）的代数表达式是什么？","$|z| < 1$。"
"复数 $z = r \text{ cis } \theta$ 的 $n$ 次方根有几个不同的值？","$n$ 个。"
"利用棣莫弗定理，$\cos 3\theta$ 的展开式（含 $\cos \theta$）是什么？","$4\cos^3 \theta - 3\cos \theta$。"
"已知 $z = 1+i$，求 $\bar{z}^2$ 的值。","$-2i$。"
"复数乘法在几何上对应哪两种变换的组合？","旋转 (Rotation) 和缩放 (Scaling)。"
"若 $z$ 是 1 的 $n$ 次单位根且 $z \ne 1$，则 $1 + z + z^2 + \dots + z^{n-1}$ 的值是多少？","$0$。"
"复数除法 $\frac{z_1}{z_2}$ 的幅角计算公式是 $\text{arg}(z_1) - \text{arg}(z_2)$，这对应几何上的什么意义？","两个向量之间夹角的差。"
"轨迹方程 $\text{arg}(\frac{z-1}{z}) = \alpha$ 表示经过点 $0$ 和 $1$ 的圆弧，该圆弧对应的圆周角是多少？","$\alpha$。"
"在复数范围内，多项式 $x^2 + 1$ 的因式分解形式是什么？","$(x + i)(x - i)$。"
"复数 $\sqrt{3} + i$ 的指数形式是什么？","$2e^{i\frac{\pi}{6}}$。"
