Front,Back
"特殊因式分解：$(x^2+x+1)(x^2-x+1)$ 展开后的结果是？","$x^4 + x^2 + 1$"
"立方恒等式：$x^3 + y^3 + z^3 - 3xyz$ 的因式分解形式是？","$(x+y+z)(x^2+y^2+z^2-xy-yz-zx)$"
"立方恒等式推论：若 $a+b+c = 0$，则 $a^3 + b^3 + c^3$ 等于？","$3abc$"
"配方法：$a^2 + b^2 + c^2 - ab - bc - ca$ 可以写成哪三个平方和的一半？","$\frac{1}{2}[(a-b)^2 + (b-c)^2 + (c-a)^2]$"
"因式分解恒等式：$x^2y+xy^2+y^2z+yz^2+z^2x+zx^2+2xyz$ 等于？","$(x+y)(y+z)(z+x)$"
"坐标几何：已知 $A(x_1, y_1)$ 和 $B(x_2, y_2)$，其中点坐标公式是？","$(\frac{x_1+x_2}{2}, \frac{y_1+y_2}{2})$"
"图像变换：将 $y=f(x)$ 的图像向左平移 $k$ 个单位 ($k>0$) 得到的函数解析式是？","$y = f(x+k)$"
"图像变换：将 $y=f(x)$ 的图像关于 $y$ 轴反射，得到的函数解析式是？","$y = f(-x)$"
"图像变换：将 $y=f(x)$ 的图像关于原点对称，得到的函数解析式是？","$y = -f(-x)$"
"图像变换：函数 $y=f(\frac{x}{k})$ 表示在 $x$ 轴方向上伸缩了多少倍？","$k$ 倍"
"图像变换：如何由 $y=f(x)$ 的图像得到 $y=|f(x)|$ 的图像？","将 $x$ 轴下方部分翻折到 $x$ 轴上方，上方部分保持不变。"
"图像变换：如何由 $y=f(x)$ 的图像得到 $y=f(|x|)$ 的图像？","保留 $x > 0$ 部分并将其关于 $y$ 轴对称复制到 $x < 0$ 区域。"
"倒数函数性质：若 $y=f(x)$ 在某点处有根，则其倒数函数 $y=\frac{1}{f(x)}$ 在该点处有什么特征？","该点对应的垂直直线是渐近线。"
"函数对称性：若 $f(x) = f(-x)$，则该函数关于什么对称？","$y$ 轴"
"函数对称性：若 $f(a+x) = f(b-x)$，则函数图像的对称轴方程是？","$x = \frac{a+b}{2}$"
"函数对称性：若 $f(a+x) + f(b-x) = c$，则函数图像关于哪个点成中心对称？","$(\frac{a+b}{2}, \frac{c}{2})$"
"周期性：若对所有 $x$ 都有 $f(x+T) = f(x)$，则 $T$ 称为什么？","周期 (Period)"
"特殊图形：方程 $|x| + |y| = k$ ($k>0$) 在坐标系中围成的图形形状是？","正方形（对角线在轴上的菱形）"
"图形对称：方程 $|x+y| + |x-y| = 2$ 在坐标平面上围成的图形是？","正方形"
"数值估算：$\sqrt{2}$ 的近似值通常取多少？","1.414"
"数值估算：$\sqrt{3}$ 的近似值通常取多少？","1.732"
"数值估算：自然常数 $e$ 的近似值是多少？","2.71828"
"数值估算：$2^{10}$ 的值及其常用的千位近似值是？","1024，近似为 1000"
"数值估算：$\ln 2$ 的近似值是多少？","0.693"
"数值近似：$\sqrt{10}$ 常被近似看作哪一个常数？","$\pi$"
"三角函数近似：当 $\theta$ 为较小的弧度值时，$\sin \theta \approx \dots$。","$\theta$"
"超越方程求解：介值定理 (Intermediate Value Theorem) 保证了连续函数在什么条件下区间内必有根？","函数在区间端点处的值 $f(a)$ 和 $f(b)$ 异号。"
"迭代法：在求解 $x^5+x-1=0$ 时，将其改写为 $x=\sqrt[5]{1-x}$ 的形式并重复带入 $x$ 值的方法称为什么？","迭代法 (Iterative Method)"
"泛函方程技巧：什么是周期性迭代函数 (Cyclic Function) 的特性？","$f(f(\dots f(x)\dots)) = x$ (即复合多次后回归本身)"
"泛函方程技巧：若要求解 $3f(x) - 4f(1/x) = x^2$，通常第一步代换是什么？","令 $x = 1/y$ 得到关于 $f(1/y)$ 和 $f(y)$ 的新方程。"
"代数基本定理：每一个次数 $n \ge 1$ 的复系数多项式至少有多少个复根？","一个"
"不动点：在函数 $f$ 的定义中，满足 $f(x_0) = x_0$ 的值 $x_0$ 被称为什么？","不动点 (Fixed Point)"
"泛函方程：求解一次线性函数$f(x)$ 满足$f(f(f(x))) = 1+2x$，可以设 $f(x) = \dots$。","$f(x)=ax + b$"
"二分法 (Bisection Method)：该方法每次迭代将搜索区间缩小到原来的多少大小？","一半 (1/2)"
