Front,Back
"若 $a+b+c+d=1$，则 $a^2+b^2+c^2+d^2$ 的最小值是？","$\frac{1}{4}$"
"已知正实数 $x, y, z$ 满足 $xy^2z^3 = 108$，求 $x+y+z$ 的最小值应使用哪种不等式？","加权平均不等式（将 $y$ 拆为 $\frac{y}{2}+\frac{y}{2}$，$z$ 拆为 $\frac{z}{3}+\frac{z}{3}+\frac{z}{3}$）"
"证明 $\sqrt{a^2+b^2} + \sqrt{x^2+y^2} \ge \sqrt{(a-x)^2+(b-y)^2}$ 的几何意义是？","三角形两边之和大于第三边（或 Minkowski 不等式的二维形式）。"
"公式 $\lfloor x 
floor + \lfloor y 
floor \le \lfloor x+y 
floor$ 描述的是下取整函数的什么性质？","超加性 (Superadditivity)"
"在解决 $n$ 项绝对值之和 $|x-a_1| + \dots + |x-a_n|$ 最小化问题时，关键在于将 $x$ 放在什么的范围内？","数组 $\{a_i\}$ 的中位数位置。"
"对于正实数 $a, b, c$，求 $\frac{a}{b+c} + \frac{b}{a+c} + \frac{c}{a+b}$ 的最小值（Nesbitt's Inequality）是多少？","$\frac{3}{2}$"
"在 $n$ 维向量空间中，柯西不等式等价于两个向量的点积与模长乘积的什么关系？","$|\vec{a} \cdot \vec{b}| \le |\vec{a}| |\vec{b}|$"
"若函数 $f(x)$ 满足 $f''(x) > 0$，则该函数是凸函数还是凹函数？","凸函数 (Convex)"
"若函数 $f(x)$ 满足 $f''(x) < 0$，则该函数是凸函数还是凹函数？","凹函数 (Concave)"
"计算 $\lfloor \sqrt{1} \rfloor + \lfloor \sqrt{2} \rfloor + \dots + \lfloor \sqrt{n} \rfloor$ 类型问题的常用策略是什么？","根据平方数分段求和。"
"排序不等式中，若两个序列一个是升序，另一个是随机排列，所得的“乱序和”位于什么之间？","反序和与同序和之间。"
"公式 $\{x\} + \{-x\}$ 在 $x$ 不是整数时等于多少？","$1$"
"公式 $\{x\} + \{-x\}$ 在 $x$ 是整数时等于多少？","$0$"
"使用平均值不等式求极值时，必须验证的三个条件（一正、二定、三相等）中，“二定”指的是？","和或积必须是一个常数。"
"柯西不等式在求形如 $\sum \sqrt{a_i x + b_i}$ 最大值时的常用构造是什么？","构造序列 $b_i = 1$，即 $(\sum \sqrt{f_i} \cdot 1)^2 \le (\sum f_i)(\sum 1^2)$。"
"对于正数 $a, b, c$ 且 $a+b+c=1$，$(a+\frac{1}{a})^2 + (b+\frac{1}{b})^2 + (c+\frac{1}{c})^2$ 的最小值是？","$\frac{100}{3}$"
"在三角形不等式应用中，“退化三角形”是指什么情况？","三点共线，导致 $a+b=c$。"
"求函数 $f(x) = |x-p| + |x-15| + |x-p-15|$ 的最小值时，应重点考察哪些点？","绝对值符号内的零点，即 $x=p, x=15, x=p+15$。"
