Front,Back
"若对于所有满足 $\gcd(m,n)=1$ 的 $m,n$ 都有 $f(mn) = f(m) + f(n)$，则称该函数为什么？","加性函数 (Additive Function)。"
"大 $\Omega$ 函数 $\Omega(n)$ 定义为 $n$ 的所有素因子的个数（计入重数），它属于哪类函数？","完全加性函数 (Completely Additive Function)。"
"积性函数 (Multiplicative Function) 必须满足 $f(1)=1$ 以及在 $\gcd(a,b)=1$ 时满足什么性质？","$f(ab) = f(a)f(b)$"
"单位函数 (Unit function) $\epsilon(n)$ 的取值规则是什么？","当 $n=1$ 时为 $1$，当 $n \ne 1$ 时为 $0$。"
"欧拉函数 (Euler's totient function) $\phi(n)$ 的定义是什么？","小于或等于 $n$ 且与 $n$ 互素的正整数个数。"
"除数函数 $\tau(n)$（或 $\sigma_0(n)$）代表什么含义？","$n$ 的正因子的个数。"
"莫比乌斯函数 $\mu(n)$ 在 $n$ 含有平方因子（非平方数分流）时取值是多少？","$0$"
"若 $n$ 是 $k$ 个互异素数的乘积，则 $\mu(n)$ 的值是多少？","$(-1)^k$"
"莫比乌斯函数的重要性质：对于 $n > 1$，$\sum_{d|n} \mu(d)$ 的结果是多少？","$0$"
"狄利克雷卷积 (Dirichlet Convolution) $(f * g)(n)$ 的定义式是什么？","$\sum_{d|n} f(d)g(\frac{n}{d})$"
"算术函数的和函数 $F$ 可以表示为常数函数 $\mathbf{1}$ 与 $f$ 的什么运算？","狄利克雷卷积 ($F = \mathbf{1} * f$)。"
"莫比乌斯反演公式 (Mobius Inversion Formula) 指出，若 $F = \mathbf{1} * f$，则 $f$ 等于什么？","$f = \mu * F$（即 $f(n) = \sum_{d|n} \mu(d)F(\frac{n}{d})$）。"
"欧拉函数 $\phi$ 的和函数 $\sum_{d|n} \phi(d)$ 等于什么？","$n$"
"阶 (Order) 的定义：若 $\gcd(a,m)=1$，使得 $a^h \equiv 1 \pmod m$ 成立的最小正整数 $h$ 称为什么？","$a$ 模 $m$ 的阶，记作 $ord_m(a)$。"
"若 $a$ 模 $m$ 的阶为 $h$，则 $a^n \equiv 1 \pmod m$ 当且仅当 $n$ 满足什么条件？","$h | n$（即阶整除 $n$）。"
"阶的一个基本性质：$ord_m(a)$ 必然整除哪个相关的计数函数值？","$\phi(m)$"
"若 $a$ 的阶为 $h$，$b$ 的阶为 $k$，且 $\gcd(h,k)=1$，则 $ab$ 的阶是多少？","$hk$"
"公式：$ord(a^n)$ 与 $ord(a)$ 的关系是什么？","$ord(a^n) = \frac{ord(a)}{\gcd(ord(a), n)}$"
"拉格朗日定理 (Lagrange's Theorem) 指出，$n$ 次多项式同余式 $f(x) \equiv 0 \pmod p$ 最多有多少个解？","$n$ 个。"
"若 $p$ 是素数且 $d | (p-1)$，模 $p$ 且阶恰好为 $d$ 的剩余系元素的个数是多少？","$\phi(d)$"
"除数之和函数 $\sigma(n)$ 满足 $\sigma = id * \mathbf{1}$，根据莫比乌斯反演，$id(n)$ 等于什么？","$\mu * \sigma$（即 $\sum_{d|n} \mu(d)\sigma(\frac{n}{d})$）。"
"算术恒等式：$\sum_{d|n} \sigma(\frac{n}{d}) \phi(d)$ 的结果是什么？","$n \times \tau(n)$"
"在证明素数因子性质时，若 $q$ 是 $2^p - 1$ 的素因子（$p$ 为素数），则 $q$ 与 $p$ 的大小关系如何？","$q > p$（实际上 $q \equiv 1 \pmod p$）。"
"计算 $97! \pmod{101}$ 的结果（提示：使用威尔逊定理）。","$17$ (因为 $100! \equiv -1 \equiv 100$, 且 $100 \times 99 \times 98 \times 97! \equiv (-1)(-2)(-3) \cdot 97! \equiv -6 \cdot 97!$)"
"阶的平移性质：$a^{n_1} \equiv a^{n_2} \pmod m$ 的充分必要条件是什么？","$ord_m(a) | (n_1 - n_2)$"
"积性函数的卷积：若 $f$ 和 $g$ 都是积性函数，它们的狄利克雷卷积 $f * g$ 是否也是积性的？","是。"
"莫比乌斯函数性质：$\sum_{d|n} |\mu(d)|$ 等于什么？","$2^{\omega(n)}$，其中 $\omega(n)$ 是 $n$ 的互异素因子个数。"
"已知 $ord_7(2)=3$，那么 $ord_7(2^2)$ 等于多少？","$3$ (根据公式 $\frac{3}{\gcd(3,2)} = 3$)"
"判断：所有的完全加性函数一定也是积性函数吗？","不是（加性函数定义为 $f(mn)=f(m)+f(n)$，积性函数定义为 $f(mn)=f(m)f(n)$）。"
"在 $x^2 + y^2 = 3z^2$ 的整数解研究中，除了 $(0,0,0)$ 以外还有其他解吗？","没有（利用模 3 剩余类及无穷下降法证明）。"
