Front,Back
"线性因式与二次因式定理指出，任何实系数多项式都可以分解为实系数的 _____ 和不可约二次因式的乘积。","线性因式（Linear Factors）"
"代换法（Method of Substitution）中，若 $2z^{3} + 5z^{2} - 3z - 2 = 0$ 的根为 $\alpha, \beta, \gamma$，求根为 $2\alpha + 1, 2\beta + 1, 2\gamma + 1$ 的新方程，应使用的代换式是？","$w = 2z + 1$（或 $z = \frac{w - 1}{2}$）"
"回文方程（Palindrome Form / Symmetric Coefficients）如 $ax^{4} + bx^{3} + cx^{2} + bx + a = 0$ 的典型解法是什么？","方程两边同时除以 $x^{2}$，然后设 $y = x + \frac{1}{x}$。"
"拉格朗日插值公式的结构通常是若干项的和，每一项由 $b_{i}$ 乘以一个 _____ 组成。","基函数（或插值多项式因子）"
"多项式求和公式中，$\sum_{k=1}^{n} p(k)$ 可以通过 _____ 算子来表达。","有限差分 $\Delta$"
"若已知 $P(1), P(2), P(3), P(4)$，要计算 $P(5)$ 且 $deg(P)=3$，可以利用什么性质？","四阶差分 $\Delta^{4}P(x) = 0$。"
"在 AIME 竞赛中，若遇到系数呈对称分布的高次方程，这种方程被称为 _____。","对称方程或倒数方程（Reciprocal Equation）。"
"三次方程 $x^{3} + a_{1}x^{2} + a_{2}x + a_{3} = 0$ 的判别式 $D = Q^{3} + R^{2} < 0$ 时，根的情况是？","三个根都是互不相等的实数。"
"三次方程 $x^{3} + a_{1}x^{2} + a_{2}x + a_{3} = 0$ 的判别式 $D = Q^{3} + R^{2} > 0$ 时，根的情况是？","一个实根和两个共轭复根。"
"在 Newton's Sums 递推公式中，对于 $n$ 次多项式，当 $k > n$ 时，$s_{k}$ 的递推关系取决于多少个前项？","$n$ 个前项。"
"若多项式 $P(x)$ 除以 $(x-1)$ 余 $2$，除以 $(x-2)$ 余 $3$，则它除以 $(x-1)(x-2)$ 的余式是什么？","$x + 1$"
"什么是分部分式分解（Partial Fraction Decomposition）？","将一个复杂的有理函数分解为若干个简单分式之和的过程。"
"多项式 $P(x) = x^{4} - 10x^{2} + 12x - 2$ 有四个实根，这说明其对应的函数图象与 $x$ 轴有几个交点？","四个交点。"
"在处理 roots in product（如 $(\alpha_{1} + \beta_{1})(\alpha_{1} + \beta_{2})\dots$）的问题时，常用的技巧是将其中一个多项式视为 _____ 的代入值。","另一个多项式"
"二次函数 $f(x) = ax^{2} + bx + c$ 中，若满足 $f(2+t) = f(2-t)$，说明图象的对称轴是？","$x = 2$"
"若一个二次多项式 $f(x)$ 是首一的（monic），且两根之和为 $a$，则 $f(x) = $ _____。","$x^{2} - ax + c$（其中 $c$ 为常数）"
"对于多项式 $P(x)$，若 $P(a) = P(b) = P(c) = k$，则 $P(x) - k$ 必含有哪些因式？","$(x - a), (x - b), (x - c)$"
"在有限差分中，$\Delta^{2}p(x)$ 的展开式是什么？","$p(x + 2) - 2p(x + 1) + p(x)$"
