Front,Back
"$\sin 135^\circ$ 的值是多少？","$\frac{\sqrt{2}}{2}$。"
"$\tan 210^\circ$ 的值是多少？","$\frac{\sqrt{3}}{3}$。"
"$\cos 315^\circ$ 的值是多少？","$\frac{\sqrt{2}}{2}$。"
"表达式 $\sin x \sec x$ 可以简化为什么？","$\tan x$。"
"简化表达式 $\cos^3 x + \sin^2 x \cos x$ 的结果是什么？","$\cos x$。"
"函数 $y = \sin x$ 的定义域和值域分别是什么？","定义域为 $\mathbb{R}$，值域为 $[-1, 1]$。"
"正弦函数 $y = \sin x$ 的最小正周期是多少？","$2\pi$。"
"余弦函数 $y = \cos x$ 是奇函数还是偶函数？","偶函数。"
"正弦函数 $y = \sin x$ 的对称中心坐标形式是什么？","$(n\pi, 0)$，其中 $n$ 为整数。"
"余弦函数 $y = \cos x$ 的对称轴方程是什么？","$x = n\pi$，其中 $n$ 为整数。"
"正切函数 $y = \tan x$ 的最小正周期是多少？","$\pi$。"
"正切函数 $y = \tan x$ 的渐近线方程是什么？","$x = n\pi + \frac{\pi}{2}$，其中 $n$ 为整数。"
"余切函数 $y = \cot x$ 的奇偶性是什么？","奇函数。"
"正割函数 $y = \sec x$ 的值域是什么？","$(-\infty, -1] \cup [1, +\infty)$。"
"余割函数 $y = \csc x$ 的最小正周期是多少？","$2\pi$。"
"在正弦型函数 $f(x) = a \sin(bx + c) + d$ 中，振幅（Amplitude）是如何计算的？","$|a|$。"
"对于函数 $y = \sin bx$，其周期的计算公式是什么？","$\frac{2\pi}{|b|}$。"
"对于函数 $y = \tan bx$，其周期的计算公式是什么？","$\frac{\pi}{|b|}$。"
"周期函数的定义是存在一个非零常数 $t$，使得对于定义域内的所有 $x$ 都有 _____。","$f(x) = f(x + t)$。"
"相移（Phase shift）在函数 $y = a \sin(bx + c) + d$ 中描述了图像的哪种变换？","水平平移。"
"诱导公式中，$\sin(2\pi + \alpha)$ 等于什么？","$\sin \alpha$。"
"诱导公式中，$\cos(\pi + \alpha)$ 等于什么？","$-\cos \alpha$。"
"诱导公式中，$\sin(\pi - \alpha)$ 等于什么？","$\sin \alpha$。"
"若 $0 \le \theta \le \frac{\pi}{2}$ 且 $\sin^5 \theta + \cos^5 \theta = 1$，则 $\theta$ 的可能值有哪些？","0 或 $\frac{\pi}{2}$。"
"已知 $\sin x \cos x = \frac{12}{25}$，计算 $\sin^4 x + \cos^4 x$ 时应利用哪个代数变形？","$(\sin^2 x + \cos^2 x)^2 - 2\sin^2 x \cos^2 x$。"
"函数 $y = \cos(\sin x)$ 的最小正周期是多少？","$\pi$。"
"正切函数 $y = \tan x$ 的定义域需排除哪些点？","$x = n\pi + \frac{\pi}{2}$（其中 $n$ 为整数）。"
"余割函数 $y = \csc x$ 的对称中心坐标形式是什么？","$(n\pi, 0)$，其中 $n$ 为整数。"
"在正弦变换中，将 $y = \sin x$ 变为 $y = \sin(x - \frac{\pi}{3})$ 是向哪个方向平移？","向右平移 $\frac{\pi}{3}$ 个单位。"
"在单位圆中，$\tan \theta$ 可以表示为坐标 $x$ 和 $y$ 的什么比值？","$\frac{y}{x}$。"
