Front,Back
"等比定理：若 $\frac{a_{1}}{b_{1}}=\frac{a_{2}}{b_{2}}=...=\frac{a_{n}}{b_{n}}$，则其等于 $\frac{a_{1}+a_{2}+...+a_{n}}{b_{1}+b_{2}+...+b_{n}}$ 的前提条件是什么？","$b_{1}+b_{2}+...+b_{n} \ne 0$"
"当 $n$ 为偶数时，$\sqrt[n]{a^{n}}$ 等于什么？","$|a|$"
"当 $n$ 为奇数时，$\sqrt[n]{a^{n}}$ 等于什么？","$a$"
"根式共轭：$\sqrt[3]{a}-\sqrt[3]{b}$ 的共轭因式是什么？","$\sqrt[3]{a^{2}}+\sqrt[3]{ab}+\sqrt[3]{b^{2}}$"
"双重根式：$\sqrt{a \pm \sqrt{b}}$ 可以化简的必要条件是什么？","$a>0, b>0$ 且 $a^{2}-b$ 是一个完全平方数。"
"无穷嵌套根式：$L=\sqrt{a+b\sqrt{a+b\sqrt{a+...}}}$ 满足的二次方程是什么？","$L^{2}-bL-a=0$"
"绝对值性质：$|x|=|y|$ 的充要条件是什么？","$x=y$ 或 $x=-y$"
"绝对值性质：$|xy|$ 等于什么？","$|x| \cdot |y|$"
"一元二次方程 $ax^{2}+bx+c=0$ 的求根公式是什么？","$x = \frac{-b \pm \sqrt{b^{2}-4ac}}{2a}$"
"一元二次方程的判别式 $\Delta$ 等于什么？","$\Delta = b^{2}-4ac$"
"若一元二次方程的判别式 $\Delta < 0$，其根的性质如何？","方程有两个共轭复数根（无实根）。"
"韦达定理（Vieta's Theorem）：一元二次方程两根之和 $x_{1}+x_{2}$ 等于什么？","$-\frac{b}{a}$"
"韦达定理（Vieta's Theorem）：一元二次方程两根之积 $x_{1}x_{2}$ 等于什么？","$\frac{c}{a}$"
"克莱姆法则（Cramer's Rule）：在二元一次方程组中，$x$ 的求解公式（用行列式表示）是什么？","$x = \frac{D_{x}}{D}$"
"克莱姆法则中，$D=0$ 意味着什么？","系统没有唯一解（可能无解或有无穷多解）。"
"函数定义中，集合 $A$ 被称为什么？","定义域（Domain）。"
"单射函数（Injection）的定义是什么？","不同的输入总是产生不同的输出的函数（一一对应）。"
"满射函数（Surjection）的定义是什么？","值域等于陪域，即陪域中的每个元素至少有一个原像。"
"什么是双射函数（Bijection）？","既是单射又是满射的函数。"
"反函数存在的充要条件是什么？","原函数必须是单射的（或一一对应的）。"
"函数 $f$ 及其反函数 $f^{-1}$ 的图像关于哪条直线对称？","$y=x$"
"幂函数 $f(x)=x^{n}$：当 $n>0$ 时，其图像一定通过哪个点？","$(0,0)$ 和 $(1,1)$"
"幂函数 $f(x)=x^{n}$：当 $n<0$ 时，其在第一象限的增减性如何？","单调递减。"
"线性函数 $y=mx+c$ 中，$m$ 代表什么？","斜率（Slope 或 Gradient）。"
"线性函数 $y=mx+c$ 的 $x$ 轴截距坐标是多少？","$(-\frac{c}{m}, 0)$"
"二次函数 $y=a(x-h)^{2}+k$ 的顶点坐标是什么？","$(h, k)$"
"二次函数 $y=ax^{2}+bx+c$ 的对称轴方程是什么？","$x = -\frac{b}{2a}$"
"多项式函数：若 $c$ 是多项式 $P$ 的 $m$ 重根且 $m$ 是偶数，则图像在 $c$ 处如何表现？","图像接触但不会穿过 $x$ 轴（相切）。"
"多项式函数：若根的重数 $m$ 是大于 $1$ 的奇数，则图像在截距处表现为？","图像穿过 $x$ 轴，但在该点处变得平坦。"
"反比例函数 $y=\frac{k}{x}$ 通过平移向上 $2$ 单位，向右 $3$ 单位后的方程是什么？","$y = \frac{k}{x-3} + 2$"
"有理函数 $r(x)=\frac{f(x)}{g(x)}$ 的垂直渐近线通常出现在哪里？","分母 $g(x)=0$ 且分子 $f(x) \ne 0$ 的点。"
"有理函数水平渐近线：若分子次数 $n$ 等于分母次数 $m$，则渐近线方程是什么？","$y = \frac{\text{首项系数}_n}{\text{首项系数}_m}$"
"有理函数水平渐近线：若分子次数 $n <$ 分母次数 $m$，则渐近线方程是什么？","$y = 0$"
"高斯函数：符号 $\lfloor x \rfloor$ 代表什么意思？","不大于 $x$ 的最大整数（地板函数）。"
"高斯函数：符号 $\{x\}$ 代表什么？","$x$ 的分数部分，即 $x - \lfloor x \rfloor$。"
"分数部分 $\{x\}$ 的取值范围是多少？","$0 \le \{x\} < 1$"
"高斯函数性质：$\lfloor x+y \rfloor - (\lfloor x \rfloor + \lfloor y \rfloor)$ 的可能取值有哪些？","$0$ 或 $1$"
"埃尔米特恒等式（Hermite's Identity）：$\lfloor na \rfloor$ 等于什么累加形式？","$\sum_{k=0}^{n-1} \lfloor a + \frac{k}{n} \rfloor$"
"什么是 monic 多项式？","最高次项系数为 $1$ 的多项式。"
"因式分解：$x^{4}+4y^{4}$ 的分解结果是什么（Sophie Germain 恒等式）？","$(x^{2}+2y^{2}+2xy)(x^{2}+2y^{2}-2xy)$"
