Front,Back
"如何将正态分布 $X \sim N(\mu, \sigma^2)$ 标准化为 $Z \sim N(0, 1)$？","$Z = \frac{X - \mu}{\sigma}$"
"方差性质：对于常数 $a, b$，$Var(aX + b) = $ _____。","$a^2 Var(X)$"
"若随机变量 $X$ 和 $Y$ 相互独立，则其和的方差 $Var(X+Y) = $ _____。","$Var(X) + Var(Y)$"
"若 $X$ 和 $Y$ 相互独立，则乘积的期望 $E(XY) = $ _____。","$E(X) \cdot E(Y)$"
"当 $n$ 较大且 $p$ 适中时，二项分布 $B(n, p)$ 可以近似为正态分布 $N($_____, $np(1-p))$。","$np$"
"当 $n$ 较大且 $p$ 较小时，二项分布 $B(n, p)$ 可以近似为泊松分布 $Po($_____)。","$np$"
"利用期望值计算方差的通用公式是 $Var(X) = E(X^2) - $ _____。","$[E(X)]^2$"
"在计算期望值时，若 $X$ 是指示变量（发生为 1，不发生为 0），则 $E(X)$ 等于什么？","该事件发生的概率 $P(X=1)$"
"在含有 52 张牌的扑克牌中，第一张 Ace 出现的期望位置是第几张？","第 $10.6$ 张（即 $\frac{53}{5}$）"
"将 12 封写好的信随机装入 12 个对应的信封，信件入对信封的期望个数是多少？","$1$"
"在杨辉三角中，第 $n$ 行所有元素的平方和 $\sum_{k=0}^{n} \binom{n}{k}^2$ 等于多少？","$\binom{2n}{n}$"
"在几何概率问题“午餐会面”中，两人在 1 小时内到达且各停留 15 分钟能相遇的概率是多少？","$7/16$"
"两点随机分布在单位正方形的边上，两点间距离至少为 $1/2$ 的概率计算中通常涉及什么常数？","$\pi$"
"对于离散分布，$\sum p_r$ 的总和必须等于多少？","$1$ (或 $100\%$)"
"在联合概率分布表中，计算 $X=x_i$ 的边际概率 $P(X=x_i)$ 的方法是什么？","对该行（或该列）所有的联合概率进行求和"
"判断两个随机变量是否独立的公式条件是 $P(X=x, Y=y) = $ _____。","$P(X=x)P(Y=y)$"
"指数分布 $X \sim Exp(\lambda)$ 的期望值 $E(X)$ 是多少？","$\frac{1}{\lambda}$"
"二项分布近似为正态分布时，为了提高精度通常需要进行的步骤称为什么？","连续性修正 (Continuity Correction)"
"在贝叶斯筛查测试示例中，由于疾病极其稀少，阳性结果后依然不患病的概率较高的现象称为什么？","假阳性 (False Positive)"
"在一副牌中，Ace 或 King 中任意一个最早出现的期望位置是第几张？","第 $\frac{53}{9}$ 张"
"对于连续型随机变量，概率密度函数（pdf）在整个定义域上的积分必须等于多少？","$1$"
"在几何概率中，若 $x \in [0, 3]$，则满足 $|x-1| \le 1/2$ 的概率是多少？","$1/3$"
"计算 $E[max(A, K)]$ 时常用的代数恒等式是将 $max(a, b)$ 写成 $a+b - $ _____。","$min(a, b)$"
"对于不公平骰子 $P(6)=2/3$，连续掷两次都是 6 的概率是多少？","$4/9$"
"在解决复杂的期望值问题（如匹配问题）时，最强大的工具通常是_____。","期望值的线性性质 (Linearity of Expectation)"
"多项式 $(x+y+z)^n$ 的不同项（不含系数）共有多少个？","$\binom{n+2}{2}$"
"如果 $X$ 和 $Y$ 相互独立，那么 $Var(aX - bY) = $ _____。","$a^2 Var(X) + b^2 Var(Y)$"
"如果一个离散分布的所有取值概率都相等，这种分布称为什么？","离散均匀分布"
"在计算组合数 $\binom{n}{k}$ 时，其对称性公式是什么？","$\binom{n}{k} = \binom{n}{n-k}$"
"对于单位正方形内的随机点 $P$，其到原点距离小于 $1$ 的概率是多少？","$\pi/4$"
