Front,Back
"正弦定理中，边长 $a, b, c$ 与外接圆半径 $R$ 的比例关系式是？","$\frac{a}{\sin A} = \frac{b}{\sin B} = \frac{c}{\sin C} = 2R$。"
"已知三角形三边 $a, b, c$ 和外接圆半径 $R$，三角形面积的计算公式是？","Area $= \frac{abc}{4R}$。"
"三角形的垂心（Orthocenter）是如何定义的？","它是三角形三条高线（Altitudes）的交点。"
"直角三角形的垂心位于何处？","位于直角顶点处。"
"钝角三角形的垂心位于何处？","位于三角形的外部。"
"在锐角三角形 $ABC$ 中，垂心 $H$ 满足 $\angle BHC = \underline{\quad\quad}$。","$180^\circ - \angle BAC$"
"垂心 $H$ 关于三角形三条边的对称点（Reflections）有什么几何特性？","它们都落在三角形的外接圆（Circumcircle）上。"
"垂心 $H$ 是其垂足三角形（Orthic triangle，即以三条高的垂足为顶点的三角形）的哪个中心？","内心（Incenter）。"
"欧拉定理（Euler's Theorem）中，外心 $O$ 与内心 $I$ 的距离平方 $OI^2$ 的公式是？","$OI^2 = R^2 - 2Rr$。"
"欧拉不等式（Euler's Inequality）指出了外接圆半径 $R$ 与内切圆半径 $r$ 的什么关系？","$R \ge 2r$。"
"欧拉不等式 $R \ge 2r$ 当且仅当三角形为什么形状时取等号？","等边三角形（Equilateral triangle）。"
"卡诺定理（Carnot's Theorem）描述了外心 $O$ 到三条边的有向距离之和与 $R, r$ 的关系，公式为？","$OO_A + OO_B + OO_C = R + r$。"
"莱布尼茨不等式（Leibniz's Inequality）中，外接圆半径 $R$ 与三边平方和的关系是？","$9R^2 \ge a^2 + b^2 + c^2$。"
"莱布尼茨不等式 $9R^2 \ge a^2 + b^2 + c^2$ 取等号的条件是外心 $O$ 与哪个中心重合？","重心 $G$（即三角形为等边三角形）。"
"在任意三角形中，三个内角的余弦值之和 $\cos A + \cos B + \cos C$ 等于？","$\frac{r}{R} + 1$。"
"鸡定理（Chicken Theorem/Incenter-Excenter Lemma）中，连接 $A$ 与内心 $I$ 的射线交外接圆于 $A_1$，则 $A_1$ 到哪些点的距离相等？","$A_1I = A_1B = A_1C$。"
"什么是 Gergonne 点？","它是顶点与内切圆在对边上对应切点的连线（三个切迹线）的交点。"
"内触弦定理（In Touch Chord）：设内心为 $I$，内切圆与 $AC, AB$ 切于 $E, F$，若 $CI \cap EF = P$，则 $BP$ 与 $PC$ 有什么位置关系？","$BP \perp PC$（互相垂直）。"
"对于等边三角形，重心、内心、外心和垂心这四个点的位置关系是？","它们全部重合于同一点。"
"在垂心相关的性质中，点集 $\{A, B_1, C_1, H\}$（其中 $B_1, C_1$ 为垂足）具有什么几何特性？","四点共圆（Cyclic）。"
"垂心 $H$ 切分高线段所形成的积关系（如 $AH \cdot HA_1$）有什么特点？","$AH \cdot HA_1 = BH \cdot HB_1 = CH \cdot HC_1$。"
"顶点 $A$ 关于对边 $BC$ 中点 $M$ 的对称点落在哪个圆上？","$\triangle HBC$ 的外接圆上。"
"旁心（Excenters）通常出现在哪种级别的数学竞赛考纲中？","AIME 及以上级别。"
"类似中线点（Symmedian）通常出现在哪种级别的数学竞赛考纲中？","USAMO / USJMO 级别。"
"如何通过构造法找到外心？","画出三角形任意两条边的垂直平分线，其交点即为外心。"
"重心又被称为什么物理学上的中心？","质量中心（Center of Mass）。"
"计算重心位置时，使用的主要数学工具是什么？","坐标系（Coordinate system）。"
"证明三条中线共点时，常用的比例性质是？","重心将每条中线分成 $2:1$ 的两部分。"
"内心 $I$ 满足的一个关于角度的恒等式是 $\angle EIC = \underline{\quad\quad}$（其中 $E$ 是内切圆切点）。","$90^\circ - \frac{\angle A}{2}$"
"外接圆半径 $R$ 与半周长 $p$ 及内切圆半径 $r$ 的一个不等式链是：$r \le \frac{p}{3\sqrt{3}} \le \frac{R}{2}$。 (注：中间项通常关联正三角形)","这是一个描述 $R, r, p$ 关系的综合不等式。"
"高冠峰老师在 tutoring 数学竞赛方面有多少年经验？","8 年。"
"在 $\triangle ABC$ 中，已知 $AB=13, AC=14, BC=15$，其面积是多少？","$84$（根据海伦公式 $p=21, \sqrt{21\cdot 8\cdot 7\cdot 6}$）。"
"若三角形有一角为直角，则其垂心与哪个顶点重合？","直角顶点。"
"内心坐标可以通过顶点坐标及其_____的加权平均来计算。","对边边长"
"在数学竞赛中，处理重心轨迹问题（如点 $C$ 在圆上移动）常用的比例缩放因子是多少？","$1/3$（因为重心公式涉及除以 3）。"
"卡诺定理中的“有向距离”在什么情况下取负值？","当外心位于三角形外部且该垂线段不与三角形内部相交时（对应钝角三角形）。"
"三角形三条中线的长度平方和与三边平方和的关系公式（中线长定理推论）常用于证明哪个不等式？","莱布尼茨不等式。"
"内切圆半径 $r$ 的倒数与三条高的倒数 $h_a, h_b, h_c$ 的关系是？","$\frac{1}{r} = \frac{1}{h_a} + \frac{1}{h_b} + \frac{1}{h_c}$。"
