Front,Back
"在 AIME 的面积例题中，已知四个小三角形面积为 40, 30, 35, 84，$\triangle ABC$ 的总面积是多少？","总面积是 $315$。"
"什么是杠杆定律中的支点（Fulcrum）？","使质点系统达到平衡的支撑点，即质心。"
"在质点法中，若点 $D$ 是 $BC$ 的中点，则 $B, C$ 两点的质量有何关系？","两点的质量必须相等。"
"重心将三角形的中线分割成什么比例？","分割成 $2:1$ 的比例。"
"根据角平分线定理，在 $\triangle ABC$ 中，$\angle A$ 的平分线 $AD$ 将对边分成 $BD:DC$ 的比例是多少？","比例等于 $AB:AC$。"
"使用质点法处理角平分线时，顶点 $B$ 和 $C$ 的质量比应设为多少？","质量比设为 $AC:AB$。"
"若 $m_B = 3$ 且 $m_C = 1$，则点 $E$ 在边 $BC$ 上的分点比 $BE:EC$ 是多少？","比例为 $1:3$。"
"若 $m_A = 2$，$m_C = 1$，且 $F$ 是 $AC$ 上的平衡点，则 $m_F$ 的值为多少？","值为 $3$。"
"根轴存在的必要条件是两个圆必须满足什么位置限制？","两个圆必须是非同心的。"
"圆幂定理在证明点在根轴上时起什么作用？","用于计算并比较点到不同圆的幂是否相等。"
"正九边形的每个内角是多少度？","内角为 $140^\circ$。"
"正六边形的每个内角是多少度？","内角为 $120^\circ$。"
"质点法中，如果顶点 $A$ 有两个分质量 $m_{A1}=2$ 和 $m_{A2}=3$，则该顶点的实际参与平衡的质量是多少？","实际质量为 $5$。"
"塞瓦定理公式中的比值通常是按照什么方向排列的？","通常按照顺时针或逆时针的方向循环排列。"
"梅涅劳斯定理中，三个点 $F, D, E$ 有多少个点可以位于三角形边的延长线上？","必须有 $1$ 个或 $3$ 个点在延长线上。"
"在 $\triangle ABC$ 中，已知 $AB=20, AC=11$，角平分线 $AD$ 的中点为 $M$，则 $CP:PA$ 的比例是多少？","比例为 $11:10$。"
"Pascal, Pappus, 和 Brianchon 定理通常出现在什么等级的数学竞赛中？","通常出现在 $USAMO$ 或 $USJMO$ 级别。"
"质点法和塞瓦定理通常被认为是准备哪种竞赛的必备工具？","通常是 $AIME$ 竞赛的必备工具。"
"根轴（Radical Axis）方法在竞赛中的主要应用是什么等级？","主要用于 $USA(J)MO$ 级别的几何证明。"
"在 $\triangle ABC$ 中，点 $M$ 是 $AB$ 中点，$P$ 在 $CM$ 上，连接 $AP, BP$ 交对边于 $D, E$，则 $ED$ 的性质是什么？","$ED$ 平行于 $AB$。"
"西姆松线定理的逆命题是否成立？","成立，若三投影点共线，则该点必在三角形外接圆上。"
"什么是三角形的“高足三角形”（Orthic triangle）？","以原三角形三条高的足为顶点的三角形。"
"如果三条直线相互平行，塞瓦定理的逆定理是否仍然适用？","适用，这种情况下三线被视为共点于无穷远。"
"在质点法计算中，通常将哪个点的质量设为 1 以简化计算？","通常选择其中一个顶点（如点 $C$）。"
"质点法能直接求出面积比吗？","不能，它主要用于求线段长度之比。"
"根心是哪三条线的交点？","是三对圆产生的三个根轴的交点。"
"若两圆外离，其根轴是否与两圆相交？","根轴与两圆均不相交。"
"对于同心圆，为什么不存在根轴？","因为在同心圆中，圆幂之差为常数，不可能为零。"
"在质点法中，支点处的总质量是多少？","等于系统内所有质点的质量总和。"
"塞瓦线 $AD$ 对应的两个分角 $\angle BAD$ 和 $\angle CAD$ 统称为什么？","统称为该塞瓦线相对于顶点的两个部分角。"
"面积比公式 $[AEC]/[BEC] = AD/DB$ 中，点 $D$ 位于哪条线上？","点 $D$ 位于直线 $AB$ 上。"
"如果 $\triangle ABC$ 中三条塞瓦线共点，它们的交点被称为什么点？","塞瓦点（Cevian point）。"
"质点法的物理原型是什么？","离散质点系统的重心计算。"
"根轴定理证明中常用的“切割线定理”属于哪类定理？","属于圆幂定理。"
"在质点法练习中，若 $AE:EC = 3:4$，$BD:DC = 2:3$，则 $AF/FD \times BF/FE$ 等于多少？","比例计算结果为 $4$。"
"梅涅劳斯定理与塞瓦定理的主要区别是什么？","塞瓦定理关于共点，梅涅劳斯定理关于共线。"
"在 $\triangle ABC$ 中，$AB=6, BC=7, CA=8$，内角平分线交于 $F$，则 $AF:FD$ 等于多少？","比例为 $2:1$。"
"若三个圆的圆心共线，它们的根轴有什么特点？","它们的根轴将相互平行。"
"西姆松线定理中，如果点 $P$ 是三角形的顶点，其西姆松线是什么？","是经过该顶点的一条三角形的高。"
