Front,Back
"对数函数 $y = \log_2 (-x)$ 的图像是将 $y = \log_2 x$ 关于哪条轴反射得到的？","$y$ 轴。"
"对数函数 $y = -\log_2 x$ 的图像是将 $y = \log_2 x$ 关于哪条轴反射得到的？","$x$ 轴。"
"双曲正弦函数 $\sinh(x)$ 的定义式是什么？","$\frac{e^x - e^{-x}}{2}$。"
"双曲余弦函数 $\cosh(x)$ 的定义式是什么？","$\frac{e^x + e^{-x}}{2}$。"
"双曲正切函数 $\tanh(x)$ 的指数定义式是什么？","$\frac{e^x - e^{-x}}{e^x + e^{-x}}$。"
"双曲余弦函数 $\cosh(x)$ 的值域是什么？","$f(x) \ge 1$。"
"双曲正切函数 $\tanh(x)$ 的值域范围是什么？","$-1 < f(x) < 1$。"
"双曲恒等式：$\cosh^2 x - \sinh^2 x$ 的结果是多少？","$1$。"
"双曲二倍角公式：$\sinh 2x$ 等于什么？","$2 \sinh x \cosh x$。"
"双曲二倍角公式：$\cosh 2x$ 等于什么？","$\cosh^2 x + \sinh^2 x$。"
"双曲正割函数 $\text{sech}(x)$ 的定义是什么？","$\frac{1}{\cosh x}$。"
"反双曲正弦函数 $\text{arsinh}(x)$ 的自然对数表达式是什么？","$\ln (x + \sqrt{x^2 + 1})$。"
"反双曲余弦函数 $\text{arcosh}(x)$ 的定义域限制是什么？","$x \ge 1$。"
"反双曲正切函数 $\text{artanh}(x)$ 的对数定义式是什么？","$\frac{1}{2} \ln (\frac{1 + x}{1 - x})$。"
"重要的指数不等式：$e^x$ 与 $x+1$ 的大小关系是什么？","$e^x \ge x + 1$。"
"重要的对数不等式：$\ln(x)$ 与 $x-1$ 的大小关系是什么？","$\ln(x) \le x - 1$。"
