Front,Back
"否定全称量词命题 $\neg[\forall x \in A, P(x)]$ 的结果是什么？","$\exists x \in A, \neg P(x)$。"
"否定存在量词命题 $\neg[\exists x \in A, P(x)]$ 的结果是什么？","$\forall x \in A, \neg P(x)$。"
"否定多变量命题 $\neg[\forall x \in A, \exists y \in B, P(x, y)]$ 的规则是什么？","$\exists x \in A, \forall y \in B, \neg P(x, y)$。"
"条件语句（Conditional Statement）的标准形式是什么？","若 $P$ 则 $Q$（$P \Rightarrow Q$）。"
"在 $P \Rightarrow Q$ 的真值表中，唯一为假的情况是什么？","当前件 $P$ 为真且后件 $Q$ 为假时。"
"对于原命题 $P \Rightarrow Q$，其逆命题（Converse Statement）是什么？","$Q \Rightarrow P$。"
"对于原命题 $P \Rightarrow Q$，其否命题（Inverse Statement）是什么？","$\neg P \Rightarrow \neg Q$。"
"对于原命题 $P \Rightarrow Q$，其逆否命题（Contrapositive Statement）是什么？","$\neg Q \Rightarrow \neg P$。"
"在四种命题形式中，哪一个与原命题在逻辑上等价？","逆否命题。"
"如果 $P$ 是 $Q$ 的充分条件（Sufficient Condition），逻辑关系如何表示？","$P \Rightarrow Q$。"
"如果 $Q$ 是 $P$ 的必要条件（Necessary Condition），逻辑关系如何表示？","$P \Rightarrow Q$。"
"当 $P \Leftrightarrow Q$ 成立时，$P$ 和 $Q$ 的关系称为什么？","充分必要条件（充要条件）。"
"若某大学规定学生必须获得体育学分才能毕业，则体育学分是毕业的什么条件？","必要条件。"
"对于矩形来说，“四条边相等”是它是正方形的什么条件？","充分必要条件。"
"直接证明（Direct Proof）的基本策略是什么？","假设 $P$ 为真，通过推理、公理和定义证明 $Q$ 为真。"
"间接证明或反证法（Proof by Contradiction）的策略是什么？","假设 $P$ 为真且 $Q$ 为假，推导出逻辑矛盾。"
"逆否命题证明法（Proof by Contrapositive）实际上是证明什么？","直接证明 $\neg Q \Rightarrow \neg P$。"
"分情况证明（Proof by Cases）的使用前提是什么？","当假设 $P$ 可以分解为有限个互补的情况时。"
"反证法的核心是推导出形如什么的表达式？","$r \wedge \neg r$（即某事物既真又假）。"
"数学归纳法（Mathematical Induction）通常用于证明哪类命题？","关于所有正整数 $n$ 的命题。"
"数学归纳法的第一步（基础步骤）是什么？","证明 $P(1)$ 为真。"
"数学归纳法中的归纳假设（Inductive Hypothesis）是什么？","假设命题对于某个正整数 $k$ 成立，即 $P(k)$ 为真。"
"数学归纳法的关键推导步骤（归纳步）是什么？","利用 $P(k)$ 为真的假设证明 $P(k+1)$ 也为真。"
"数学归纳法常被类比为什么物理现象？","多米诺骨牌效应。"
"举出数学归纳法的一个经典求和公式示例。","$\sum_{i=1}^n i = \frac{n(n+1)}{2}$。"
"如何通过“反例”（Counterexample）来反驳一个命题？","找到一个特定案例，使原命题的条件成立但结论不成立。"
"在 $P \Rightarrow Q$ 的逻辑中，若 $P$ 为假，则整个命题的真值是什么？","真（空真，Vacuously True）。"
"逻辑谜题中，若 Brian 说“我和 Mike 是不同物种”，且 Brian 是诚实的，这意味着什么？","Mike 一定是撒谎的物种（青蛙）。"
"陈述“所有学生都喜欢数学”的否定形式是什么？","存在至少一个学生不喜欢数学。"
"在逻辑推理中，“必要非充分条件”意味着什么？","$Q \Rightarrow P$ 成立，但 $P \Rightarrow Q$ 不成立。"
"若要证明 $n^2$ 是偶数则 $n$ 是偶数，使用哪种证明方法最直接？","逆否命题证明法（证明若 $n$ 是奇数，则 $n^2$ 是奇数）。"
"在 $P \Rightarrow Q$ 中，如果 $P$ 发生则 $Q$ 一定发生，这强调了 $P$ 是 $Q$ 的什么？","充分条件。"
"在 $P \Rightarrow Q$ 中，如果 $Q$ 不发生则 $P$ 一定不发生，这强调了 $Q$ 是 $P$ 的什么？","必要条件。"
"命题“若 $x=1$，则 $x^2=1$”的逆命题是否为真？","不一定（当 $x=-1$ 时不成立）。"
"在数学符号中，$\equiv$ 表示什么关系？","等价于（is equivalent to）。"
"证明“素数有无穷多个”通常采用哪种证明方法？","反证法（Indirect Proof）。"
"对于集合 $A$ 和 $B$，$x \in A \cup B$ 的逻辑定义是什么？","$(x \in A) \vee (x \in B)$。"
"对于集合 $A$ 和 $B$，$x \in A \cap B$ 的逻辑定义是什么？","$(x \in A) \wedge (x \in B)$。"
"符号 $\circ$ 在函数中代表什么？","复合函数（composition of functions）。"
"希腊字母 $\phi$ 和 $\psi$ 的英文名称分别是什么？","phi 和 psi。"
"在逻辑学中，如果原命题为假，其逆否命题的真值是什么？","假。"
